category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;
301112;Настенный кронштейн DS-2902ZJ;Сумісний з серіями камер;;Дивитися таблицю сумісності;Матеріал;;Нержавіюча сталь;Розміри;;259 × 396 × 119 мм;Колір;;білий;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;396 x 119 x 259 мм;Вага брутто;;2.29 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;
301112;Настенный кронштейн Hikvision DS-2280ZJ(O-NEU);Матеріал;;пластик;Розміри;;"149,5 × 120 × 73,3 мм";Кількість в ящику;;39 шт;Розмір упаковки (Ш х В х Г);;130 x 80 x 150 мм;Вага брутто;;0.02 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;
301112;Настенный кронштейн для Mini купольных камер DS-1273ZJ-140;Матеріал;;Алюмінієвий сплав;Розміри;;Ф140х182х120 мм;Кріплення;;Ф140;Навантаження;;4.5 Кг;Вага;;703г;Колір;;білий;Кількість в ящику;;8 шт;Розмір упаковки (Ш х В х Г);;220 x 180 x 270 мм;Вага брутто;;1.12 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Настенный кронштейн для PanoVu камер DS-1603ZJ;Матеріал;;Алюмінієвий сплав;Розміри;;364x182 мм;Навантаження;;20 Кг;Вага;;1400г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;7 шт;Розмір упаковки (Ш х В х Г);;182 x 182 x 364 мм;Вага брутто;;1.4 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Настенный кронштейн для PTZ камер DS-1602ZJ-box;Матеріал;;Алюмінієвий сплав;Розміри;;397x209x310 мм;Навантаження;;10 кг;Вага;;3230г;Колір;;білий;Кількість в ящику;;4 шт;Розмір упаковки (Ш х В х Г);;250 x 210 x 330 мм;Вага брутто;;4.1 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Настенный кронштейн для PTZ камер DS-1604ZJ;Матеріал;;Алюмінієвий сплав;Розміри;;355x255x170 мм;Навантаження;;10 Кг;Вага;;2150г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Розмір упаковки (Ш х В х Г);;395 x 320 x 200 мм;Вага брутто;;2.72 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Настенный кронштейн для PTZ камер DS-1604ZJ-P;Матеріал;;Алюмінієвий сплав і сталь;Розміри;;355x262x170 мм;Навантаження;;10 Кг;Вага;;3800г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;1 шт;Розмір упаковки (Ш х В х Г);;320 x 210 x 390 мм;Вага брутто;;2.78 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Настенный кронштейн для PTZ камер DS-1605ZJ;Матеріал;;Алюмінієвий сплав;Розміри;;Ф171x158x228 мм;Навантаження;;5 Кг;Вага;;1120г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;9 шт;Розмір упаковки (Ш х В х Г);;240 x 250 x 370 мм;Вага брутто;;1.97 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Настенный кронштейн для камер PFB110W;Матеріал;;алюміній;Розміри;;Ф95 х 194 мм;Навантаження;;1000 г;Вага;;180 г;Колір;;білий;Робоча температура;;-40ºC ~ + 60ºC;Вологість;;<90% RH;Розмір упаковки (Ш х В х Г);;95 x 95 x 195 мм;Вага брутто;;0.3 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Настенный кронштейн для купольных камер DS-1272ZJ-110;Матеріал;;Алюмінієвий сплав;Розміри;;122x120x169 мм;Навантаження;;4.5 Кг;Вага;;480г;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;200 x 160 x 160 мм;Вага брутто;;0.7 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;;;;
301112;Настенный кронштейн для купольных камер DS-1273ZJ-130;Матеріал;;Алюмінієвий сплав;Розміри;;Ф132х183х228 мм;Навантаження;;4.5 Кг;Вага;;690г;Колір;;білий;Кількість в ящику;;15 шт;Розмір упаковки (Ш х В х Г);;220 x 190 x 270 мм;Вага брутто;;1.08 кг;Строк гарантії;;12 міс.;;;;;;;;;;;;;;;
301112;Настенный кронштейн для скоростных купольных камер DS-1602ZJ-P;Матеріал;;Алюмінієвий сплав;Розміри;;306x182x97 мм;Навантаження;;10 Кг;Вага;;1050г;Колір;;сірий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;9 шт;Розмір упаковки (Ш х В х Г);;38 x 360 x 610 мм;Строк гарантії;;12 міс.;;;;;;;;;;;;
301112;Переходной адаптер для PT камер DH-PFA107;Сумісний з серіями камер;;"SD12200T-GN (W), SD12203T-GN (W), SD1A200T-GN (W), SD1A203T-GN (W)";Матеріал;;алюміній;Розміри;;Ф 134x84;Навантаження;;1кг;Вага;;290г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;160 x 120 x 160 мм;Вага брутто;;0.32 кг;Строк гарантії;;12 міс.;;;;;;
301112;Переходной адаптер для PTZ камер DH-PFA111;Сумісний з серіями камер;;Дивіться в файлі ""сумісність"";Матеріал;;алюміній;Розміри;;Φ60ммx49мм;Кріплення;;G1 1/2 '';Навантаження;;7.0кг;Вага;;0.25кг;Колір;;білий;Робоча температура;;-40 ℃ ~ +60 ℃;Вологість;;<90%;Розмір упаковки (Ш х В х Г);;60 x 49 x 60 мм;Вага брутто;;0.25 кг;Строк гарантії;;12 міс.;;;;;;
301112;Платформа DS-1232ZJ-T;Матеріал;;сталь;Розміри;;100x100x92 мм;Навантаження;;6 Кг;Вага;;850г;Колір;;білий;Робоча температура;;-40 ℃ ~ 60 ℃;Вологість;;0 ~ 90% RH;Кількість в ящику;;12 шт;Розмір упаковки (Ш х В х Г);;130 x 125 x 115 мм;Вага брутто;;1.02 кг;Строк гарантії;;12 міс.;;;;;;;;;
301112;Подвесное крепление DS-1271ZJ-135;Матеріал;;алюміній;Розміри;;Φ136 × 545 мм;Розмір упаковки (Ш х В х Г);;255 x 90 x 340 мм;Вага брутто;;1.6 кг;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
