Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kamery-videonablyudeniya;301105;;;Чутливість (люкс);Введіть число. Число повинно бути від 0.0001 до 100000
https://prom.ua/Kamery-videonablyudeniya;301105;;;"ІЧ-фільтр, що відключається";Так
https://prom.ua/Kamery-videonablyudeniya;301105;;;"ІЧ-фільтр, що відключається";Ні
https://prom.ua/Kamery-videonablyudeniya;301105;;;Сигнал/шум (дБ);Введіть число. Число повинно бути від 0 до 70
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип об'єктива;Варіофокальний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип об'єктива;Монофокальний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип об'єктива;Моторизований
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип об'єктива;Трансфокальний
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип об'єктива;Фіксований
https://prom.ua/Kamery-videonablyudeniya;301105;;;Тип об'єктива;Фікс-об'єктив
https://prom.ua/Kamery-videonablyudeniya;301105;;;Можливість зміни об'єктивів;Так
https://prom.ua/Kamery-videonablyudeniya;301105;;;Можливість зміни об'єктивів;Ні
https://prom.ua/Kamery-videonablyudeniya;301105;;;Світлосила об'єктива (F);Введіть число. Число повинно бути від 0 до 8
https://prom.ua/Kamery-videonablyudeniya;301105;;;Фокусна відстань (мм);Введіть число. Число повинно бути від 0 до 100
https://prom.ua/Kamery-videonablyudeniya;301105;;;Мінімальне значення фокусної відстані (мм);Введіть число. Число повинно бути від 0 до 100
