category_id;supplier_name;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;Назва_Характеристики;Одиниця_виміру_Характеристики;Значення_Характеристики;;;;;
14191103;Блок живлення Full Energy BGP-125U 12 В / 5 А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;170 x 70 x 80 мм;Входное напряжение;;100–240 В;Выходное напряжение;В;12 В;Сила струму на виході;;5 А;Розміри;;115.5 x 52 x 32.5 мм;Мощность;;60 Вт;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-125Lite 12В 5А;Вага брутто;;250;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;220 В;Выходное напряжение;В;12 В;Сила струму на виході;;5 А;Строк гарантії;;12 міс.;Тип устройства;;Блок живлення імпульсний;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-123U 12В 3А;Вага брутто;;0.22 кг;Розмір упаковки (Ш х В х Г);;65 x 70 x 145 мм;Входное напряжение;;AC 100-240 В;Выходное напряжение;В;12В;Сила струму на виході;;3А;Мощность;;36 Вт;Особенности;;Довжина кабелю: 1.35 м (від БЖ до роз'єму) + 0.9 м (від БЖ до вилки);;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-123 Lite 12В 3А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;220 В;Выходное напряжение;В;12 В;Сила струму на виході;;3A;Строк гарантії;;12 міс.;Тип устройства;;Блок живлення імпульсний;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-122U 12 В / 2 А;Вага брутто;;0.5 кг;Розмір упаковки (Ш х В х Г);;70 x 70 x 150 мм;Входное напряжение;;100–240В;Выходное напряжение;В;12В;Сила струму на виході;;2А;Розміри;;88 х 40 х 28 мм;Тип устройства;;Імпульсний блок живлення;Мощность;;24 Вт;Кількість каналів навантаження;;1;Довжина кабеля;;0.9 м+1.4 м;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-122Pro 12В 2А;Вага брутто;;0.25 кг;Розмір упаковки (Ш х В х Г);;90 x 40 x 60 мм;Входное напряжение;;220 В;Выходное напряжение;В;+12 В;Сила струму на виході;;2 А;Строк гарантії;;24 міс.;Розміри;;80 x 43 x 33 мм;Рабочая температура;;-10 - +50°C;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-1210UW 12В 10А;Вага брутто;;1 кг;Розмір упаковки (Ш х В х Г);;105 x 70 x 210 мм;Входное напряжение;;AC 100-240 В;Выходное напряжение;В;12В;Сила струму на виході;;10А;Розміри;;203 х 70 х 40 мм;Тип устройства;;Імпульсний;Мощность;;120 Вт;Рабочая температура;;-20 - +50°C;Особенности;;IP67;Довжина кабеля;;Довжина кабелю: 1.35 м (від БЖ до роз'єму) + 0.85 м (від БЖ до вилки);;;;;;;;;;;
14191103;Блок живлення Full Energy BGP-121 12 В / 1 А;Вага брутто;;0.1 кг;Розмір упаковки (Ш х В х Г);;65 x 60 x 105 мм;Входное напряжение;;220 В;Выходное напряжение;В;12 В;Сила струму на виході;;1 А;Строк гарантії;;12 міс.;Розміри;;48 x 75 x 28 мм;Тип устройства;;Блок живлення імпульсний;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGM-128U 12 В / 8.5 А;Вага брутто;;0.32 кг;Розмір упаковки (Ш х В х Г);;105 x 35 x 135 мм;Входное напряжение;;AC 100-240 В;Выходное напряжение;В;12 В;Сила струму на виході;;8.5 А;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191103;Блок живлення Full Energy BGM-123U 12 В / 3 А;Вага брутто;;0.07 кг;Розмір упаковки (Ш х В х Г);;50 x 85 x 120 мм;Входное напряжение;;AC 100-240 В;Выходное напряжение;В;12 В;Сила струму на виході;;3 А;Розміри;;110 х 78 х 36 мм;Мощность;;36 Вт;Особенности;;шум та пульсації: 120 мВ;;;;;;;;;;;;;;;;;;;;
