Посилання_підрозділу;Ідентифікатор_підрозділу;supplier_attribute;supplier_value_substring;prom_attribute;prom_value
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Кожух;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Кожух;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Сонцезахисний козирок;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Сонцезахисний козирок;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Обігрівач з термореле;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Обігрівач з термореле;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Вентилятор;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Вентилятор;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Склоочисник;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Склоочисник;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Блок живлення;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Блок живлення;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Кнопка "Вкл./Выкл.";Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Кнопка "Вкл./Выкл.";Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Провід сполучний;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Провід сполучний;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Комплект для установки;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Комплект для установки;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Інструкція з установки;Так
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Інструкція з установки;Ні
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP10
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP11
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP12
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP13
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP14
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP15
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP16
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP17
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP18
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP19
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP20
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP21
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP22
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP23
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP24
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP25
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP26
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP27
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP28
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP29
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP30
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP31
https://prom.ua/Kozhuhi-i-kronshtejny;301112;;;Захист обладнання від води і пилу IP;IP32
